MAV,RMS,V,WL,SSC,IEMG,LOGVAR,PF,TP,SE,FR,BW,PSD,P2P,MOV
0.001146,0.001464,0.000002,7.669100,5028.000000,11.464800,-13.053100,120.000000,0.000004,7.742800,0.227770,0.000000,0.000004,0.000902,reposo
0.000993,0.001256,0.000002,6.736600,5061.000000,9.927400,-13.359300,120.000000,0.000003,7.759600,0.224350,0.000000,0.000003,0.000858,reposo
0.001001,0.001264,0.000002,6.818300,5066.000000,10.012600,-13.346500,120.000000,0.000003,7.752300,0.209230,0.000000,0.000003,0.000805,reposo
0.000966,0.001224,0.000001,6.715800,5144.000000,9.657500,-13.411400,120.000000,0.000003,7.759800,0.208210,0.000000,0.000003,0.000770,reposo
0.000865,0.001085,0.000001,5.934600,5105.000000,8.645600,-13.651900,120.000000,0.000002,7.745600,0.197460,0.000000,0.000002,0.000824,reposo
0.000777,0.000958,0.000001,5.167000,5102.000000,7.773400,-13.900500,120.000000,0.000002,7.735400,0.201240,0.000000,0.000002,0.000822,reposo
0.000757,0.000935,0.000001,4.942300,5181.000000,7.565300,-13.949700,120.000000,0.000002,7.732000,0.223890,0.000000,0.000002,0.000771,reposo
0.000738,0.000909,0.000001,4.769500,5202.000000,7.375300,-14.005600,120.000000,0.000002,7.714900,0.231300,-0.200000,0.000002,0.000694,reposo
0.001835,0.003335,0.000011,12.003300,5018.000000,18.355400,-11.406500,120.000000,0.000022,7.730700,0.248270,0.000000,0.000022,0.000910,reposo
0.001520,0.002520,0.000006,9.546400,5045.000000,15.194900,-11.966800,120.000000,0.000013,7.686600,0.258270,0.000000,0.000013,0.000774,reposo
0.000862,0.001081,0.000001,5.867900,5051.000000,8.622800,-13.660200,120.000000,0.000002,7.719500,0.211790,0.000000,0.000002,0.000790,reposo
0.000885,0.001125,0.000001,6.125200,5156.000000,8.846400,-13.580600,120.000000,0.000003,7.746000,0.191650,0.000000,0.000003,0.000759,reposo
0.001176,0.001544,0.000002,8.813500,5098.000000,11.758300,-12.946600,120.000000,0.000005,7.753500,0.179870,0.000000,0.000005,0.000806,reposo
0.001150,0.001509,0.000002,8.539800,5043.000000,11.500800,-12.993000,120.000000,0.000005,7.757500,0.174990,0.000000,0.000005,0.000809,reposo
0.001276,0.001710,0.000003,8.451900,5042.000000,12.760400,-12.742100,120.000000,0.000006,7.722200,0.163230,0.000000,0.000006,0.000842,reposo
0.001187,0.001559,0.000002,8.634500,5052.000000,11.874700,-12.927200,120.000000,0.000005,7.771600,0.170480,0.000000,0.000005,0.000834,reposo
0.001136,0.001483,0.000002,8.347100,5029.000000,11.362500,-13.028000,120.000000,0.000004,7.750100,0.177910,0.000000,0.000004,0.000833,reposo
0.001108,0.001496,0.000002,7.981800,5034.000000,11.083700,-13.009300,120.000000,0.000004,7.792800,0.198490,0.000000,0.000004,0.000738,reposo
0.001160,0.001545,0.000002,8.374100,5033.000000,11.597000,-12.945700,120.000000,0.000005,7.743200,0.176450,0.000000,0.000005,0.000798,reposo
0.001973,0.003363,0.000011,11.430200,5067.000000,19.726700,-11.389800,120.000000,0.000023,7.662700,0.313210,-123.200000,0.000023,0.000620,reposo
0.002039,0.003742,0.000014,12.520200,4943.000000,20.390000,-11.176300,120.000000,0.000028,7.694300,0.271960,-60.000000,0.000028,0.000776,reposo
0.001017,0.001300,0.000002,6.959800,5105.000000,10.175400,-13.290300,120.000000,0.000003,7.753700,0.207570,0.000000,0.000003,0.000790,reposo
0.001005,0.001278,0.000002,6.900800,5013.000000,10.047200,-13.325100,120.000000,0.000003,7.739700,0.203490,0.000000,0.000003,0.000774,reposo
0.001288,0.001710,0.000003,9.727300,5035.000000,12.884200,-12.742600,120.000000,0.000006,7.743100,0.173980,0.000000,0.000006,0.000822,reposo
0.003923,0.009403,0.000088,26.690200,4984.000000,39.233000,-9.333500,120.000000,0.000177,7.740000,0.239260,-199.200000,0.000177,0.001061,palma
0.007146,0.017543,0.000308,44.302700,4911.000000,71.460300,-8.086100,42.800000,0.000615,7.673900,0.284970,-98.200000,0.000615,0.002426,palma
0.013488,0.031485,0.000991,78.581700,4911.000000,134.877100,-6.916400,41.400000,0.001983,7.670800,0.243050,-173.200000,0.001983,0.004104,palma
0.008589,0.023569,0.000556,52.003500,5043.000000,85.894800,-7.495600,36.000000,0.001111,7.713100,0.244760,-174.600000,0.001111,0.003315,palma
0.011139,0.027262,0.000743,63.499500,4917.000000,111.391100,-7.204400,167.800000,0.001486,7.709100,0.256990,-258.000000,0.001486,0.003009,palma
0.010160,0.023995,0.000576,55.218200,4963.000000,101.603700,-7.459700,35.400000,0.001151,7.710600,0.253120,-274.400000,0.001151,0.002712,palma
0.012090,0.027906,0.000779,59.421300,4922.000000,120.903800,-7.157800,36.000000,0.001557,7.614400,0.297890,-94.600000,0.001557,0.005230,palma
0.002264,0.003744,0.000014,13.376700,4946.000000,22.636100,-11.174900,120.000000,0.000028,7.669300,0.310240,0.000000,0.000028,0.000875,palma
